Symbol,Company Name,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
HOVR,New Horizon Aircraft Ltd.,Rating: Strong Sell1.10,Rating: Not Covered,Rating: Strong Buy5.00,11.92M,-,B+,B+,F,F,Rating: Not Covered
MASS,908 Devices Inc.,Rating: Strong Sell1.10,Rating: Sell2.00,Rating: Strong Buy4.60,91.24M,-,A,D+,D-,F,F
OPRX,OptimizeRx Corporation,Rating: Strong Sell1.10,Rating: Not Covered,Rating: Buy4.37,98.18M,-,B-,D-,B+,D-,D-
LAZR,"Luminar Technologies, Inc.",Rating: Strong Sell1.10,Rating: Hold3.40,Rating: Hold3.14,301.66M,-,C-,A-,F,F,B-
NLLSF,Nel ASA,Rating: Strong Sell1.10,Rating: Not Covered,Rating: Sell2.00,468.99M,-,B,C,F,F,D
APPS,"Digital Turbine, Inc.",Rating: Strong Sell1.10,Rating: Sell2.00,Rating: Hold3.33,148.33M,-,A-,B-,D,F,D+
CARA,"Cara Therapeutics, Inc.",Rating: Strong Sell1.09,Rating: Not Covered,Rating: Hold3.00,15.80M,-,C+,D+,D,D,C+
APTO,Aptose Biosciences Inc.,Rating: Strong Sell1.09,Rating: Not Covered,Rating: Buy4.00,10.61M,-,Rating: Not Covered,F,F,F,A+
VRNOF,Verano Holdings Corp.,Rating: Strong Sell1.09,Rating: Buy4.00,Rating: Strong Buy4.80,497.13M,-,A+,C-,A-,F,D-
BPTH,"Bio-Path Holdings, Inc.",Rating: Strong Sell1.09,Rating: Not Covered,Rating: Buy4.00,3.32M,-,Rating: Not Covered,B+,F,D-,A
FEAM,"5E Advanced Materials, Inc.",Rating: Strong Sell1.09,Rating: Hold3.00,Rating: Hold3.33,31.76M,-,B,D+,F,F,B-
CELH,"Celsius Holdings, Inc.",Rating: Strong Sell1.09,Rating: Buy3.86,Rating: Buy4.11,6.67B,-,D,A-,B,F,D+
PIII,P3 Health Partners Inc.,Rating: Strong Sell1.09,Rating: Not Covered,Rating: Buy4.00,84.79M,-,A+,B-,B,F,D-
AGEN,Agenus Inc.,Rating: Strong Sell1.09,Rating: Hold3.00,Rating: Hold3.40,81.87M,-,A,B,C-,F,D+
BNED,"Barnes & Noble Education, Inc.",Rating: Strong Sell1.08,Rating: Buy4.00,Rating: Hold3.00,288.29M,-,B,B+,D-,F,Rating: Not Covered
MPLN,MultiPlan Corporation,Rating: Strong Sell1.08,Rating: Not Covered,Rating: Hold3.33,114.33M,-,A+,D+,B+,F,D
PYXS,"Pyxis Oncology, Inc.",Rating: Strong Sell1.08,Rating: Buy4.00,Rating: Strong Buy4.50,108.82M,-,A-,B-,D-,D-,D
PAPL,Pineapple Financial Inc.,Rating: Strong Sell1.08,Rating: Not Covered,Rating: Strong Buy5.00,4.13M,-,B-,C,F,F,C
POAI,Predictive Oncology Inc.,Rating: Strong Sell1.08,Rating: Not Covered,Rating: Hold3.00,5.18M,-,C+,D-,D+,D,D
PTN,"Palatin Technologies, Inc.",Rating: Strong Sell1.08,Rating: Not Covered,Rating: Buy4.00,22.09M,-,D,B+,F,D,C
LIPO,Lipella Pharmaceuticals Inc.,Rating: Strong Sell1.08,Rating: Not Covered,Rating: Buy4.00,3.57M,-,C,D+,D+,D,F
HLVX,"HilleVax, Inc.",Rating: Strong Sell1.07,Rating: Not Covered,Rating: Hold3.00,92.61M,-,A,D,C-,D-,D+
CBUS,"Cibus, Inc.",Rating: Strong Sell1.07,Rating: Not Covered,Rating: Buy4.25,134.24M,-,C-,A-,D+,D-,D+
AYRWF,Ayr Wellness Inc.,Rating: Strong Sell1.07,Rating: Sell2.00,Rating: Buy4.00,82.99M,-,A+,B-,B,F,D-
ZAPP,Zapp Electric Vehicles Group Limited,Rating: Strong Sell1.07,Rating: Not Covered,Rating: Strong Buy4.66,7.04M,-,B,B+,F,D,B-
MNY,MoneyHero Limited,Rating: Strong Sell1.07,Rating: Not Covered,Rating: Strong Buy5.00,48.12M,-,B-,B,F,F,D-
CTNT,Cheetah Net Supply Chain Service Inc.,Rating: Strong Sell1.07,Rating: Not Covered,Rating: Hold3.00,4.84M,-,A+,A-,C+,F,D
VRCA,Verrica Pharmaceuticals Inc.,Rating: Strong Sell1.07,Rating: Not Covered,Rating: Buy3.66,112.30M,-,D+,D-,F,F,B-
ALLGF,Allego N.V.,Rating: Strong Sell1.06,Rating: Not Covered,Rating: Strong Buy5.00,141.98M,-,C-,C-,F,F,Rating: Not Covered
WATT,Energous Corporation,Rating: Strong Sell1.06,Rating: Not Covered,Rating: Strong Buy5.00,4.13M,-,B,B+,F,F,C+
WBX,Wallbox N.V.,Rating: Strong Sell1.06,Rating: Buy4.00,Rating: Buy4.00,157.31M,-,B,D+,F,F,D+
OKYO,OKYO Pharma Limited,Rating: Strong Sell1.06,Rating: Not Covered,Rating: Buy4.00,35.19M,-,Rating: Not Covered,B+,F,C+,C
DRCT,"Direct Digital Holdings, Inc.",Rating: Strong Sell1.06,Rating: Not Covered,Rating: Buy4.00,4.60M,-,A-,B-,F,F,F
ATNM,"Actinium Pharmaceuticals, Inc.",Rating: Strong Sell1.06,Rating: Not Covered,Rating: Buy4.20,44.92M,-,A-,B-,C,F,D+
HTOO,Fusion Fuel Green PLC,Rating: Strong Sell1.06,Rating: Not Covered,Rating: Buy4.00,5.37M,-,B,B+,F,F,B-
NDLS,Noodles & Company,Rating: Strong Sell1.06,Rating: Not Covered,Rating: Strong Buy5.00,31.06M,-,A+,B-,F,F,D-
OMGA,"Omega Therapeutics, Inc.",Rating: Strong Sell1.05,Rating: Not Covered,Rating: Buy4.42,44.06M,-,C,D,C+,D-,D
GCTS,"GCT Semiconductor Holding, Inc.",Rating: Strong Sell1.05,Rating: Hold3.00,Rating: Strong Buy5.00,113.61M,-,B-,B-,F,F,Rating: Not Covered
